"lhs","","rhs","support","confidence","lift"
"{소스 코드}","=>","{부산행}",0.012911555842479,0.416666666666667,1.40920669577875
"{비정규직 특수요원}","=>","{조작된 도시}",0.0142027114267269,0.458333333333333,2.9705369595537
"{비정규직 특수요원}","=>","{미녀와 야수}",0.012911555842479,0.416666666666667,1.8707729468599
"{다만 널 사랑하고 있어}","=>","{부산행}",0.012911555842479,0.434782608695652,1.47047655211695
"{라푼젤}","=>","{공조}",0.0122659780503551,0.41304347826087,2.07728684359119
"{블랙}","=>","{부산행}",0.0122659780503551,0.422222222222222,1.42799611838913
"{비밀은 없다}","=>","{부산행}",0.0161394448030988,0.490196078431373,1.65789023032794
"{내부자들: 디 오리지널}","=>","{곡성(哭聲)}",0.0142027114267269,0.458333333333333,1.74009395424837
"{대부 3}","=>","{부산행}",0.012911555842479,0.4,1.3528384279476
"{노트북}","=>","{미녀와 야수}",0.013557133634603,0.403846153846154,1.81321070234114
"{007 스펙터}","=>","{곡성(哭聲)}",0.0142027114267269,0.415094339622642,1.5759341472438
"{스타트렉 다크니스}","=>","{변호인}",0.013557133634603,0.446808510638298,1.93325805301319
"{스타트렉 다크니스}","=>","{부산행}",0.0142027114267269,0.468085106382979,1.58310879866208
"{미 비포 유}","=>","{곡성(哭聲)}",0.0142027114267269,0.415094339622642,1.5759341472438
"{시카리오: 암살자의 도시}","=>","{곡성(哭聲)}",0.013557133634603,0.42,1.59455882352941
"{완득이}","=>","{럭키}",0.012911555842479,0.416666666666667,1.909516765286
"{완득이}","=>","{부산행}",0.0161394448030988,0.520833333333333,1.76150836972344
"{블랙 스완}","=>","{부산행}",0.0142027114267269,0.407407407407407,1.37789099142811
"{시간이탈자}","=>","{럭키}",0.0154938670109748,0.421052631578947,1.92961694176269
"{캐리비안의 해적 - 망자의 함}","=>","{괴물}",0.0154938670109748,0.436363636363636,4.25111492281304
"{캐리비안의 해적 - 망자의 함}","=>","{부산행}",0.0148482892188509,0.418181818181818,1.4143310837634
"{고산자 대동여지도}","=>","{럭키}",0.0161394448030988,0.446428571428571,2.04591081994928
"{소원}","=>","{부산행}",0.0174306003873467,0.473684210526316,1.60204550678005
"{혹성탈출: 진화의 시작}","=>","{부산행}",0.0154938670109748,0.444444444444444,1.50315380883066
"{조선명탐정: 각시투구꽃의 비밀}","=>","{부산행}",0.0161394448030988,0.43859649122807,1.48337546924079
"{시간을 달리는 소녀}","=>","{부산행}",0.0180761781794706,0.451612903225806,1.52739822510213
"{스타트렉 비욘드}","=>","{인터스텔라}",0.0161394448030988,0.431034482758621,2.13313870221439
"{스타트렉 비욘드}","=>","{부산행}",0.0206584893479664,0.551724137931034,1.86598403854841
"{이끼}","=>","{부산행}",0.0161394448030988,0.454545454545455,1.537316395395
"{도가니}","=>","{부산행}",0.0161394448030988,0.416666666666667,1.40920669577875
"{서울역}","=>","{부산행}",0.0200129115558425,0.476923076923077,1.61299966409137
"{씽}","=>","{라라랜드}",0.0180761781794706,0.424242424242424,2.43389450056117
"{씽}","=>","{너의 이름은.}",0.0174306003873467,0.409090909090909,2.11933718455458
"{트랜스포머: 패자의 역습}","=>","{곡성(哭聲)}",0.0187217559715946,0.446153846153846,1.69385369532428
"{쿵푸팬더3}","=>","{부산행}",0.0193673337637185,0.422535211267606,1.42905467740943
"{싱 스트리트}","=>","{부산행}",0.0167850225952227,0.4,1.3528384279476
"{핵소 고지}","=>","{부산행}",0.0180761781794706,0.417910447761194,1.41341328293033
"{사냥}","=>","{부산행}",0.0174306003873467,0.402985074626866,1.36293423711139
"{메이즈 러너}","=>","{부산행}",0.0167850225952227,0.419354838709677,1.41829835188055
"{어벤져스}","=>","{부산행}",0.0225952227243383,0.421686746987952,1.42618508970379
"{도리를 찾아서}","=>","{부산행}",0.0206584893479664,0.444444444444444,1.50315380883066
"{최종병기 활}","=>","{부산행}",0.0238863783085862,0.451219512195122,1.52606773884333
"{스플릿}","=>","{공조}",0.0213040671400904,0.407407407407407,2.0489417989418
"{스플릿}","=>","{부산행}",0.026468689477082,0.506172839506173,1.71192517116826
"{님아 그 강을 건너지 마오}","=>","{부산행}",0.0232408005164622,0.428571428571429,1.44946974422957
"{어메이징 스파이더맨 2}","=>","{명량}",0.0219496449322143,0.414634146341463,2.03894696089818
"{다가오는 것들}","=>","{부산행}",0.0238863783085862,0.451219512195122,1.52606773884333
"{7광구}","=>","{부산행}",0.0238863783085862,0.44578313253012,1.50768138054401
"{당신 거기 있어줄래요}","=>","{마스터}",0.0245319561007101,0.431818181818182,2.36355605525217
"{퍼시픽 림}","=>","{곡성(哭聲)}",0.0232408005164622,0.404494382022472,1.53569068076669
"{워크래프트: 전쟁의 서막}","=>","{부산행}",0.0251775338928341,0.40625,1.37397652838428
"{로스트 인 더스트}","=>","{곡성(哭聲)}",0.025823111684958,0.43010752688172,1.63293274298967
"{나우 유 씨 미 2}","=>","{부산행}",0.0277598450613299,0.43,1.45430131004367
"{맨 인 더 다크}","=>","{부산행}",0.0303421562298257,0.443396226415094,1.49960863475323
"{미씽: 사라진 여자}","=>","{부산행}",0.0322788896061975,0.43859649122807,1.48337546924079
"{형}","=>","{더 킹}",0.0303421562298257,0.412280701754386,1.9063367373658
"{형}","=>","{럭키}",0.0329244673983215,0.447368421052632,2.05021800062286
"{미스 페레그린과 이상한 아이들의 집}","=>","{부산행}",0.0303421562298257,0.405172413793103,1.37033202830899
"{제이슨 본}","=>","{곡성(哭聲)}",0.0329244673983215,0.408,1.549
"{제이슨 본}","=>","{부산행}",0.0367979341510652,0.456,1.54223580786026
"{레지던트 이블: 파멸의 날}","=>","{곡성(哭聲)}",0.0335700451904455,0.40625,1.54235600490196
"{모아나}","=>","{부산행}",0.0348612007746934,0.432,1.46106550218341
"{두 남자}","=>","{부산행}",0.0387346675274371,0.428571428571429,1.44946974422957
"{인디펜던스 데이: 리써전스}","=>","{부산행}",0.0451904454486766,0.424242424242424,1.434828635702
"{26년}","=>","{변호인}",0.0438992898644287,0.404761904761905,1.75133014099495
"{아가씨}","=>","{부산행}",0.0593931568754035,0.412556053811659,1.39530420819707
"{닥터 스트레인지}","=>","{부산행}",0.0600387346675274,0.402597402597403,1.36162309306414
"{터널}","=>","{부산행}",0.0742414460942544,0.473251028806584,1.60058044458821
"{밀정}","=>","{부산행}",0.0761781794706262,0.409722222222222,1.38571991751577
"{인천상륙작전}","=>","{부산행}",0.0781149128469981,0.415807560137457,1.40630111496271
"{공조}","=>","{더 킹}",0.0903808908973531,0.454545454545455,2.10176390773406
"{더 킹}","=>","{공조}",0.0903808908973531,0.417910447761194,2.10176390773406
"{반가운 살인자,엣지 오브 다크니스}","=>","{디어 존}",0.0122659780503551,0.904761904761905,13.0979083222074
"{디어 존,엣지 오브 다크니스}","=>","{반가운 살인자}",0.0122659780503551,0.76,27.3776744186047
"{디어 존,반가운 살인자}","=>","{엣지 오브 다크니스}",0.0122659780503551,0.826086956521739,39.9877717391304
"{밀정,스타트렉 비욘드}","=>","{부산행}",0.0109748224661072,0.80952380952381,2.73788729465585
"{부산행,스타트렉 비욘드}","=>","{밀정}",0.0109748224661072,0.53125,2.85731336805556
"{럭키,스타트렉 비욘드}","=>","{부산행}",0.0122659780503551,0.826086956521739,2.79390544902221
"{부산행,스타트렉 비욘드}","=>","{럭키}",0.0122659780503551,0.59375,2.72106139053254
"{인천상륙작전,패신저스}","=>","{곡성(哭聲)}",0.0109748224661072,0.515151515151515,1.95580808080808
"{곡성(哭聲),패신저스}","=>","{인천상륙작전}",0.0109748224661072,0.653846153846154,3.48043880518107
"{공조,패신저스}","=>","{더 킹}",0.0109748224661072,0.566666666666667,2.62019900497512
"{더 킹,패신저스}","=>","{공조}",0.0109748224661072,0.5,2.51461038961039
"{스플릿,프리즌}","=>","{부산행}",0.0109748224661072,0.68,2.29982532751092
"{부산행,스플릿}","=>","{프리즌}",0.0109748224661072,0.414634146341463,2.43283444198078
"{마스터,스플릿}","=>","{부산행}",0.0103292446739832,0.695652173913043,2.35276248338713
"{밀정,스플릿}","=>","{부산행}",0.0109748224661072,0.85,2.87478165938865
"{부산행,스플릿}","=>","{밀정}",0.0109748224661072,0.414634146341463,2.23009823848238
"{스플릿,인천상륙작전}","=>","{부산행}",0.0103292446739832,0.615384615384615,2.08128988915015
"{공조,스플릿}","=>","{부산행}",0.0122659780503551,0.575757575757576,1.947267434167
"{부산행,스플릿}","=>","{공조}",0.0122659780503551,0.463414634146341,2.33061450744378
"{럭키,스플릿}","=>","{부산행}",0.0116204002582311,0.6,2.0292576419214
"{부산행,스플릿}","=>","{럭키}",0.0116204002582311,0.439024390243902,2.01197864049646
