"user_pk","id","review_count","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","V34"
93,"choo****","69","아마겟돈","더 웨이브","어카운턴트","잭 라이언 : 코드네임 쉐도우","한반도","언노운","에너미 오브 스테이트","13시간","썸 오브 올 피어스","샌 안드레아스","더블 타겟","투어리스트","머큐리","제로 다크 서티","언스토퍼블","미친개들","타워링","나이트 플라이트","볼케이노","크림슨 타이드","메카닉","스니치","엣지 오브 다크니스","밴티지 포인트","스푹스:MI5","신의 전사","배틀로얄","박치기!","강철중: 공공의 적 1-1","괴물",NA
94,"iamy****","30","폴링 스노우","당신이 사랑하는 동안에","더 클럽","언페이스풀","쓰리 데이즈","박치기!","포스트맨은 벨을 두 번 울린다","강철중: 공공의 적 1-1","몬테 크리스토 백작","인 디 에어","더 웨이브","실버라이닝 플레이북","시럽","황후花","스턱 인 러브","500일의 썸머","터미널","쉬리","왓 이프","말죽거리 잔혹사","이프 온리","어카운턴트","카페 소사이어티","캐쉬백","더 레블 - 영웅의 피","잭 라이언 : 코드네임 쉐도우","내 깡패 같은 애인","도쿄 택시","아티스트","한반도",NA
98,"thdu****","98","쏜다","괴물","박치기!","강철중: 공공의 적 1-1","미스터 고","고","은밀하게 위대하게","개들의 전쟁","덩크 슛","감자 심포니","조선미녀삼총사","간첩","바보들의 행진","헬보이 2: 골든 아미","다즐링 주식회사","창문넘어 도망친 100세 노인","와일드 테일즈: 참을 수 없는 순간","문라이즈 킹덤","테일러 오브 파나마","미스 리틀 선샤인","버킷 리스트 - 죽기 전에 꼭 하고 싶은 것들","머나먼 여정","투건스","노킹 온 헤븐스 도어","자토이치","불이신탐","거북이 달린다","인 디 에어","실버라이닝 플레이북","시럽",NA
103,"sunw****","40","동창생","탑 건","파이트 클럽","알투비:리턴투베이스","역도산","록키 발보아","화이트 하우스 다운","무적자","더 레슬러","동사서독 리덕스","암살","협녀 칼의 기억","베를린","황혼의 사무라이","우는 남자","강남 1970","천하제일검","무림쟁패: 황제암살단","의형제","표적","워리어","글래디에이터","러시 : 더 라이벌","정무문 : 100대 1의 전설","엽문","서울","아나키스트","대한민국 1%","스톤","전설의 주먹",NA
109,"sky_****","38","괴물","코어","엑스맨: 퍼스트 클래스","심연","2012","월드워Z","로스트 인 스페이스","헬보이 2: 골든 아미","생텀","포세이돈","몬테 크리스토 백작","이탈리안 잡","식스틴 블럭","폭풍 속으로","아포칼립토","감기","올 이즈 로스트","정복자 1453","신해혁명","가디언","하트 오브 더 씨","천하칠검 양가장","드래곤 블레이드","LA 대지진","7인의 사무라이","일라이","하이-라이즈","디스트릭트 9","폼페이: 최후의 날","브이 포 벤데타",NA
110,"tlsw****","57","미스터 고","고","은밀하게 위대하게","개들의 전쟁","덩크 슛","감자 심포니","조선미녀삼총사","간첩","투건스","노킹 온 헤븐스 도어","자토이치","불이신탐","거북이 달린다","강철중: 공공의 적 1-1","박치기!","핸콕","동창생","탑 건","파이트 클럽","알투비:리턴투베이스","역도산","록키 발보아","화이트 하우스 다운","무적자","더 레슬러","동사서독 리덕스","암살","협녀 칼의 기억","베를린","황혼의 사무라이",NA
113,"dbfl****","77","코어","엑스맨: 퍼스트 클래스","심연","2012","월드워Z","괴물","하이-라이즈","디스트릭트 9","브이 포 벤데타","크로니클","푸시","초능력자","생텀","미션 투 마스","혹성탈출: 반격의 서막","트랜센던스","포세이돈","아마겟돈","더 웨이브","어카운턴트","잭 라이언 : 코드네임 쉐도우","한반도","언노운","에너미 오브 스테이트","13시간","썸 오브 올 피어스","샌 안드레아스","더블 타겟","투어리스트","머큐리",NA
130,"kooo****","30","생텀","포세이돈","몬테 크리스토 백작","코어","엑스맨: 퍼스트 클래스","이탈리안 잡","심연","2012","식스틴 블럭","폭풍 속으로","월드워Z","황금나침반","괴물","디시에르토","본 슈프리머시","본 아이덴티티","헤이와이어","셜록 홈즈","폼페이: 최후의 날","타이탄","헌츠맨: 윈터스 워","토르: 천둥의 신","섀도우 헌터스 : 뼈의 도시","콘스탄틴","더 웨이브","아포칼립토","어카운턴트","잭 라이언 : 코드네임 쉐도우","한반도","언노운",NA
134,"soli****","54","괴물","강철중: 공공의 적 1-1","몬테 크리스토 백작","박치기!","동창생","탑 건","파이트 클럽","알투비:리턴투베이스","역도산","록키 발보아","화이트 하우스 다운","무적자","더 레슬러","동사서독 리덕스","암살","협녀 칼의 기억","베를린","황혼의 사무라이","우는 남자","강남 1970","천하제일검","무림쟁패: 황제암살단","의형제","표적","워리어","글래디에이터","러시 : 더 라이벌","정무문 : 100대 1의 전설","엽문","서울",NA
147,"skul****","42","괴물","코어","엑스맨: 퍼스트 클래스","심연","2012","월드워Z","헬보이 2: 골든 아미","쏜다","로스트 인 스페이스","아포칼립토","감기","올 이즈 로스트","정복자 1453","신해혁명","가디언","하트 오브 더 씨","천하칠검 양가장","드래곤 블레이드","LA 대지진","7인의 사무라이","생텀","포세이돈","폼페이: 최후의 날","본 슈프리머시","본 아이덴티티","헤이와이어","아마겟돈","일라이","황금나침반","하이-라이즈",NA
151,"rkdu****","38","쏜다","아포칼립토","감기","올 이즈 로스트","정복자 1453","신해혁명","가디언","하트 오브 더 씨","천하칠검 양가장","드래곤 블레이드","LA 대지진","7인의 사무라이","이탈리안 잡","식스틴 블럭","폭풍 속으로","동창생","탑 건","파이트 클럽","알투비:리턴투베이스","역도산","록키 발보아","화이트 하우스 다운","무적자","더 레슬러","동사서독 리덕스","암살","협녀 칼의 기억","베를린","황혼의 사무라이","우는 남자",NA
158,"suri****","49","미스터 고","고","은밀하게 위대하게","개들의 전쟁","덩크 슛","감자 심포니","조선미녀삼총사","간첩","동창생","탑 건","파이트 클럽","알투비:리턴투베이스","역도산","록키 발보아","화이트 하우스 다운","무적자","더 레슬러","동사서독 리덕스","암살","협녀 칼의 기억","베를린","황혼의 사무라이","우는 남자","강남 1970","천하제일검","무림쟁패: 황제암살단","의형제","표적","워리어","글래디에이터",NA
161,"tlsd****","92","괴물","강철중: 공공의 적 1-1","더 웨이브","어카운턴트","잭 라이언 : 코드네임 쉐도우","한반도","언노운","에너미 오브 스테이트","13시간","썸 오브 올 피어스","샌 안드레아스","더블 타겟","투어리스트","머큐리","제로 다크 서티","언스토퍼블","미친개들","타워링","나이트 플라이트","볼케이노","크림슨 타이드","메카닉","스니치","엣지 오브 다크니스","밴티지 포인트","스푹스:MI5","신의 전사","배틀로얄","생텀","포세이돈",NA
166,"tldm****","33","박치기!","더 웨이브","황후花","쉬리","말죽거리 잔혹사","어카운턴트","더 레블 - 영웅의 피","잭 라이언 : 코드네임 쉐도우","한반도","언노운","에너미 오브 스테이트","13시간","나는 야한 여자가 좋다","썸 오브 올 피어스","샌 안드레아스","더블 타겟","투어리스트","머큐리","제로 다크 서티","언스토퍼블","미친개들","타워링","나이트 플라이트","불꽃처럼 나비처럼","겟 썸","볼케이노","크림슨 타이드","천장지구","메카닉","스니치",NA
172,"tiny****","33","아포칼립토","감기","올 이즈 로스트","정복자 1453","신해혁명","가디언","하트 오브 더 씨","천하칠검 양가장","드래곤 블레이드","LA 대지진","7인의 사무라이","본 슈프리머시","본 아이덴티티","헤이와이어","생텀","쏜다","포세이돈","코어","엑스맨: 퍼스트 클래스","심연","2012","월드워Z","동창생","탑 건","파이트 클럽","알투비:리턴투베이스","역도산","록키 발보아","화이트 하우스 다운","무적자",NA
