주토피아,"['애니메이션', '액션', '모험', '코미디', '가족']",미국,108분 ,2016.02.17,전체 관람가,바이론 하워드,"['지니퍼 굿윈', '제이슨 베이트먼', '샤키라']",9.33,7.20,9.35
크리스마스 캐롤,"['애니메이션', '판타지', '가족', '드라마']",미국,96분 ,2009.11.26,전체 관람가,로버트 저메키스,"['짐 캐리', '콜린 퍼스', '게리 올드만']",,6.46,8.17
춘희막이,['다큐멘터리'],한국,96분 ,2015.09.30,12세 관람가,박혁지,"['김춘희', '최막이']",8.45,6.06,8.73
찰리 윌슨의 전쟁,"['드라마', '코미디']",미국,97분 ,2008.02.06,15세 관람가,마이크 니콜스,"['톰 행크스', '줄리아 로버츠', '필립 세이모어 호프만']",,6.50,5.51
태풍,"['액션', '모험', '전쟁', '스릴러']",한국,124분 ,2005.12.14,15세 관람가,곽경택,"['장동건', '이정재', '이미연']",,5.67,6.04
오직 그대만,['드라마'],한국,105분 ,2011.10.20,15세 관람가,송일곤,"['소지섭', '한효주']",,5.25,9.11
감바의 대모험,['애니메이션'],일본,90분 ,2016.11.10,전체 관람가,카와무라 토모히로,"['카지 유우키', '칸다 사야카', '타카기 와타루']",8.86,5.00,8.59
사랑따윈 필요없어,"['드라마', '멜로/로맨스']",한국,119분 ,2006.11.09,15세 관람가,이철하,"['김주혁', '문근영']",,4.00,6.30
엘리게이터,"['공포', 'SF']",미국,88분 ,1981.06.20,청소년 관람불가,루이스 티그,"['로버트 포스터', '로빈 리커', '마이클 V. 가조']",,7.97,
하얀 리본,"['드라마', '미스터리']",오스트리아,142분 ,2010.07.01,15세 관람가,미카엘 하네케 ,"['크리스티안 프리에델', '에른스트 야코비']",5.00,8.64,7.90
...ing,"['멜로/로맨스', '드라마']",한국,110분 ,2003.11.28,12세 관람가,이언희,"['임수정', '김래원', '이미숙']",,8.88,
하이힐,"['느와르', '액션']",한국,125분 ,2014.06.18,청소년 관람불가,장진,"['차승원', '오정세', '이솜']",7.75,6.15,7.74
탑 건,"['드라마', '액션']",미국,110분 ,1987.12.19,15세 관람가,토니 스콧,"['톰 크루즈', '켈리 맥길리스']",,8.76,
악마를 보았다,"['범죄', '스릴러']",한국,144분 ,2010.08.12,청소년 관람불가,김지운,"['이병헌', '최민식']",,6.67,7.79
뉴 문,"['판타지', '멜로/로맨스', '드라마', '스릴러']",미국,130분 ,2009.12.02,12세 관람가,크리스 웨이츠,"['크리스틴 스튜어트', '로버트 패틴슨']",,5.13,6.60
내겐 너무 가벼운 그녀,"['멜로/로맨스', '코미디']",미국,114분 ,2002.02.22,15세 관람가,바비 패럴리,"['기네스 팰트로우', '잭 블랙']",,8.75,
K-19 위도우메이커,"['드라마', '스릴러']",독일,138분 ,2002.10.03,12세 관람가,캐스린 비글로우,"['해리슨 포드', '리암 니슨']",,9.06,
신기전,"['드라마', '액션', '전쟁']",한국,134분 ,2008.09.04,15세 관람가,김유진,"['정재영', '한은정', '허준호']",,5.50,8.30
더 웨이브,"['액션', '드라마', '스릴러']",노르웨이,104분 ,2016.07.13,12세 관람가,로아 우다우그,"['크리스토퍼 요너', '아네 달 토르프', '조나스 호프 오프테브로']",7.71,6.63,6.58
피아니스트,['드라마'],프랑스,130분 ,2016.06.02,청소년 관람불가,미카엘 하네케,"['이자벨 위페르', '브느와 마지멜']",8.30,8.75,8.13
스모킹 에이스,['액션'],영국,108분 ,2007.03.08,청소년 관람불가,조 카나한,"['벤 애플렉', '제레미 피번', '라이언 레이놀즈']",,4.00,6.96
불가사리,"['SF', '액션']",북한,95분 ,2000.07.22,전체 관람가,정건조,"['장선희', '함기섭', '리종국']",,6.74,
그라운드의 이방인,['다큐멘터리'],한국,103분 ,2015.03.19,전체 관람가,김명준,['권해효'],9.05,6.94,8.71
마유미,"['드라마', '범죄', '스릴러']",한국,110분 ,1990.06.09,청소년 관람불가,신상옥,"['김서라', '이학재', '강신성일']",,8.24,
어브덕션,"['액션', '드라마', '미스터리', '스릴러']",미국,105분 ,2011.09.29,15세 관람가,존 싱글톤,"['테일러 로트너', '시고니 위버', '릴리 콜린스']",,4.58,6.41
시간위의 집,"['미스터리', '스릴러']",한국,100분 ,2017.04.05,15세 관람가,임대웅,"['김윤진', '택연', '조재윤']",9.24,4.60,8.45
영화는 영화다,"['액션', '범죄', '드라마', '느와르']",한국,112분 ,2008.09.11,청소년 관람불가,장훈,"['소지섭', '강지환']",,6.20,8.86
그레이트 뷰티,"['코미디', '드라마']",이탈리아,141분 ,2014.06.12,청소년 관람불가,파올로 소렌티노,"['토니 세르빌로', '사브리나 페릴리', '세레나 그랜디']",7.84,7.25,7.90
콤플렉스,['공포'],일본,106분 ,2013.07.25,15세 관람가,나카타 히데오,"['마에다 아츠코', '나리미야 히로키']",,3.91,
별이 빛나는 밤,['드라마'],대만,98분 ,2012.04.05,전체 관람가,린슈유,"['서교', '임휘민', '유약영']",,5.54,8.70
짓,"['서스펜스', '멜로/로맨스']",한국,107분 ,2013.09.25,청소년 관람불가,한종훈,"['서태화', '김희정', '서은아']",,5.00,5.28
슈퍼 밥,"['액션', '코미디', '멜로/로맨스']",영국,82분 ,2016.08.11,12세 관람가,존 드레버,"['브렛 골드스타인', '나탈리아 테나', '캐서린 테이트']",,5.53,
파이트 클럽,"['액션', '드라마']",미국,139분 ,2016.10.26,청소년 관람불가,데이빗 핀처,"['브래드 피트', '에드워드 노튼', '헬레나 본햄 카터']",9.50,7.75,8.91
천국의 책방 - 연화,['드라마'],일본,111분 ,2006.04.27,12세 관람가,시노하라 테츠오,"['타케우치 유코', '타마야마 테츠지', '하라다 요시오']",,5.00,8.02
미래를 걷는 소녀,"['멜로/로맨스', '판타지']",일본,98분 ,2009.09.17,전체 관람가,코나카 카즈야,"['카호', '사노 카즈마']",,6.33,8.65
하트브레이커스,"['코미디', '범죄', '에로']",미국,122분 ,2001.08.17,청소년 관람불가,데이빗 미어킨,"['시고니 위버', '제니퍼 러브 휴이트']",,8.44,
나의 그리스식 웨딩 2,['코미디'],미국,94분 ,2016.03.30,15세 관람가,커크 존스,"['니아 발다로스', '존 코베트', '엘레나 캠푸리스']",8.54,5.67,7.47
타인의 멜로디,['드라마'],한국,78분 ,2014.03.27,15세 관람가,양영철,"['서지승', '편보승', '이유경']",,8.16,
더 라스트: 나루토 더 무비,['애니메이션'],일본,114분 ,2015.02.26,12세 관람가,코바야시 츠네오,"['타케우치 준코', '나카무라 치에', '모리쿠보 쇼타로']",8.95,8.71,
레드: 더 레전드,"['액션', '코미디', '범죄']",미국,115분 ,2013.07.18,15세 관람가,딘 패리소트,"['브루스 윌리스', '이병헌', '캐서린 제타-존스']",,6.18,8.00
파라노말 인시던트,"['공포', '미스터리']",미국,84분 ,2015.10.29,청소년 관람불가,듀크 히치콕,"['토머스 도니', '제네퍼 러드위센']",,6.57,
