director,aud_mean,cri_mean,net_mean,count
노라 애프론,,6.33,8.68,1
노라 에프론,8,7.78,8.52,2
노만 주이슨,,9.35,,1
노병하,10,8.23,,2
노아 바움백,7.935,6.79,7.71,2
노암 머로,7.55,4.98,7.59,2
노엘 마샬,,6.2,,1
노영석,8.41,6.785,7.775,2
노즈에 타케시,9.31,8.38,,1
노진수,10,5.39,5.855,3
니나가와 미카,,6.415,7.955,2
니르 패니리,,8.03,,1
니마 누리자데,6.8,6.33,6.93,1
니시다 마사후미,,8.22,,1
니시카와 미와,8.68,7,8.6,1
니시쿠보 미즈호,7.25,6.33,4.19,1
니시타니 히로시,,6.32,8.7,1
니코스 포스콜로스,,9.48,,1
니콜라스 맥카시,,6.44,,1
니콜라스 스톨러,8.445,6.44,8.04,2
니콜라스 윈딩 레픈,7.78,6.845,6.86,2
니콜라스 제렉키,,7.88,,1
니콜라이 레베데프,,8.91,,1
니콜라이 아르셀,,7.35,8.38,1
니티왓 다라톤,9,6.2,8.77,1
닉 머피,,7.045,,2
닉 샌도우,,7.14,,1
닉 카사베츠,9.47,7.975,9.07,2
닉 톰네이,,6,7.03,1
닉 햄,,7.1,,1
닉 허랜,,5,8.3,1
닉힐 아드바니,,7.34,,1
닐 라부티,,5.495,,2
닐 마샬,,6.857,6.593,3
닐 버거,7.62,6.43,7.985,3
닐 블롬캠프,7.92,6.837,7.963,3
닐 조던,,7.78,7.56,3
닐 피셔,,3.87,,1
닐스 아르덴 오플레브,,5.875,7.21,2
님로드 앤탈,,6.257,7.465,3
다구르 카리,,7,8.03,1
다나카 히로유키,,6.46,8.065,2
다니 델 라 토레,6,6,6.46,1
다니엘 그로우,,6.52,,1
다니엘 래거시스,,6.38,,1
다니엘 미릭,,6.38,,1
다니엘 벤마요,7.03,6.68,,1
다니엘 스탬,,6.62,,1
다니엘 알프레드손,,5.46,7.025,2
다니엘 에스피노사,7.775,5.56,7.97,4
다니엘 칼파소로,,6.71,,1
다니엘르 톰슨,8.24,6.1,8.16,1
다라 오코넬,8.207,8.18,,3
다미엔 차젤레,8.865,8.39,8.68,2
다비드 비이어,,7.2,,1
다비드 샤혼,,6.62,,1
다비드 포앙키노스,,8.41,,1
다카하시 와타루,8.76,8.83,,1
다카하타 이사오,7.825,8.205,6.64,4
다카하타 히데타,,8.64,,1
다코 룬구로브,,6.31,7.47,1
닥터 필,,4.33,,1
당계례,9.08,7.055,7.01,2
대니 드비토,,9.18,,1
대니 보일,7.81,7.3,8.01,6
대니 분,8.23,4.97,8.38,2
대니 캐논,,4.5,8.99,1
대니 팽,,5.82,,1
대런 린 보우즈만,,6.105,8.3,2
대런 아로노프스키,6.57,7.52,7.598,5
댄 길로이,7.86,7.31,8.33,1
댄 러쉬,,5.75,6.99,1
댄 마저,8.26,4.65,7.44,1
댄 스캔론,,6.43,8.72,1
댄 트라첸버그,7.47,7.17,7.58,1
댄 포겔맨,9.04,6,8.79,1
더 비셔우스 브라더스,,5,6.52,1
더그 라이만,8.74,7.165,7.915,4
더그 레플러,,5.7,,1
더글러스 맥그라스,,5.31,7.69,1
더글러스 맥키넌,7.51,6.5,7.15,1
더글러스 엘포드-아젠트,,5.71,,1
던칸 존스,8.67,6.897,8.723,3
데니스 간젤,7.67,5.25,6.59,1
데니스 듀간,,7.965,,2
데니스 일리아디스,4,3.96,6.015,2
데니스 체르노프,7.52,7.74,,1
데니즈 겜즈 에르구벤,8.41,6.94,8.6,1
데렉 리,6.5,5.88,7.66,1
데릭 시엔프랜스,8.66,6.677,8.59,3
데미안 리히트스타인,,7.58,,1
데미안 스지프론,8.56,5.5,8.19,1
데오도르 멜피,8.985,6.51,8.895,2
데이너 슈로더,,8.44,,1
데이브 그린,7.09,5,7.815,2
데이브 마이어스,,4.37,,1
데이비드 F. 샌드버그,7.71,7.43,,1
데이비드 O. 러셀,8.4,4.4,6.7,1
데이비드 R. 엘리스,,5.455,5.75,2
데이비드 데닌,,6.39,,1
데이비드 미코드,,7.75,6.32,1
데이비드 에이어,7.25,5.806,7.662,5
데이비드 지달리,,4,,1
데이비드 크로넨버그,,7.13,6.06,1
데이비드 페트루치,,2,4.87,1
데이비드 헤이터,6,2.5,5.72,1
데이빗 O. 러셀,7.557,7.123,8.067,3
데이빗 S. 고이어,,3.4,4.44,1
데이빗 S. 워드,,8.66,,1
데이빗 겔브,6.11,4.38,5.7,1
데이빗 닉슨,9.08,3,8.49,1
데이빗 레이치,8.145,6.86,8.04,2
데이빗 로버트 밋첼,6.35,6.86,6.68,1
데이빗 로워리,8.45,7,8.3,1
데이빗 린치,,7.59,,1
데이빗 마코니,,7.63,,1
데이빗 맥낼리,,8.87,,1
데이빗 맥킨지,8.38,8.1,8.44,1
데이빗 모로,8.36,5.77,6,2
데이빗 미어킨,,8.44,,1
데이빗 미코드,,6.67,7.05,1
데이빗 보워스,,5.75,8.02,1
데이빗 소렌,,6.67,9.05,1
데이빗 슬레이드,,5.25,7.38,2
데이빗 실버맨,,6.6,8.81,1
데이빗 예이츠,8.36,6.62,7.862,6
데이빗 켈로그,,6.85,,1
데이빗 코엡,7.44,4.65,5.57,1
데이빗 크로넨버그,,7.59,8.115,3
데이빗 토히,,5.627,7.295,4
데이빗 프랭클,8.71,6.495,8.492,4
데이빗 핀처,9.123,7.781,8.24,9
덱스터 플레처,8.96,6.75,9.02,1
도날드 페트리,,8.485,,2
도리스 도리,8,7.55,8.97,1
도미닉 세나,,7.14,,2
도요시마 케이스케,7.24,5.5,7.08,1
도이 노부히로,9.08,7.163,7.47,3
도창훈,4.6,2,6.36,1
돈 마이클 폴,,5.56,,1
돈 블루스,,9.24,,1
돈 치들,7.71,6.25,7.68,1
돈 코스카렐리,,6.8,,1
돈 테일러,,7.22,,1
돈 홀,9.29,7.16,9.11,1
동위,,6.84,,1
두기봉,,6.785,,4
듀안 에들러,6.64,5,5.95,1
듀웨인 던햄,,9.33,,1
듀크 히치콕,,6.57,,1
드니 빌뇌브,7.985,7.428,8.04,5
드레이크 도리머스,7.565,6.27,7.675,2
드류 고다드,,7.59,6.98,1
드류 베리모어,,6.75,8.01,1
드와이트 H. 리틀,,7.21,,1
디데릭 반 로이엔,,7.35,,1
디클란 데일,,4,4.97,1
디터 베르너,8.06,6.25,7.99,1
딘 데블로이스,8.4,7.663,9.13,3
딘 이스라엘리트,7.37,4,8,1
딘 패리소트,,5.89,7.83,2
딩성,7.54,5,7.99,1
라나 워쇼스키,6.58,4.75,5.98,1
라두 미하일레아누,,5.88,8.49,1
라디오 사일런스,,7.35,,1
라맨 허,7.65,5.63,6.79,1
라민 바흐러니,9.25,7.63,8.27,1
라샤네 림트라쿨,,4.5,6.08,1
라세 할스트롬,8.05,6.46,7.817,5
라스 폰 트리에,8.67,8.493,7.67,3
라이 루소 영,,5.67,,1
라이언 고슬링,,4.64,,1
라이언 리틀,,4.12,,1
라이언 머피,,5.21,6.43,1
라이언 오넌,9,8.35,,1
라이언 존슨,,6.667,7.277,3
라자 고스넬,,7.93,,1
라즐로 네메스,8.65,7.83,7.94,1
라지쿠마르 히라니,8.98,6.545,9.185,2
라희찬,,6.265,7.29,2
래리 양,8.83,6.32,8.92,1
래리 찰스,,5.86,6.85,1
랜달 밀러,,5.5,7.33,1
랜달 웰러스,8.26,7.44,,1
랜달 크레이저,,8.865,,2
랜들 월리스,,8.16,,1
러셀 멀케이,,7.985,,2
레니 에이브러햄슨,8.74,7.475,8.445,2
레니 할린,7.255,6.354,6.673,7
레미 베잔송,,6.67,8.87,1
레베카 밀러,8.08,6.83,7.97,1
레슬리 헤드랜드,7.73,5.5,7.91,1
레오 가브리아제,5.39,6,6.19,1
레오 까락스,8.4,8.66,,2
레오 로,,6.21,,1
레온 주센,10,7.89,,1
레이노앗 오얼레만스,,7.48,,1
레이먼드 허버,,3.3,,1
레이프 파인즈,,7.15,,1
레자 미르카리미,8.2,6.06,8.74,1
렌 와이즈먼,,6.205,8.085,2
로드 루리,,8.3,,1
로드리고 코르테스,,6.055,7.295,2
로라 포이트라스,8.85,7.81,8.69,1
로랑 캉테,9,7.08,7.7,1
로랑 티라르,8.74,6.75,8.59,2
로렌 스카파리아,,6,8.15,1
로렌스 리,,4.49,,1
로렌스 캐스단,,7.51,,2
로렌츠 크나우어,9.4,6.67,9.18,1
로렌트 부닉,,6.51,,1
로렌트 투엘,,5.5,,1
로만 폴란스키,,7.105,7.07,2
로메인 바세트,,7.1,,1
로버츠 개너웨이,8.07,5.5,7.96,1
로버트 B. 웨이드,,6.89,7.41,1
로버트 로드리게즈,,7.145,7.11,2
로버트 로렌즈,,6.3,8.34,1
로버트 루케틱,,5.745,7.84,4
로버트 뷔드로,8.85,7.13,8.77,1
로버트 스트롬버그,8.39,6.07,8.21,1
로버트 와이즈,9.56,9.36,,1
로버트 저메키스,9.136,7.857,8.54,12
로버트 클루즈,,9,,1
로버트 파리기,,8.08,,1
로베르토 베니니,9.54,8.34,9.38,1
로베르트 슈벤트케,8.005,5.485,7.653,6
