"user_pk","id","genre_cluster","grade_cluster","nation_cluster"
1777,"dhks****",9,30,23
1800,"skss****",15,32,37
1802,"ghdr****",38,33,32
1804,"rkdl****",29,18,16
1810,"chac****",31,12,2
1824,"wodn****",5,15,21
1826,"lims****",7,29,18
1835,"jake****",26,2,15
1844,"dlat****",15,13,20
1853,"jesu****",24,4,37
1857,"skyc****",33,36,29
1859,"cona****",24,36,1
1868,"whdg****",33,27,18
1874,"your****",13,26,1
1878,"cent****",23,33,40
1879,"wlgu****",16,13,35
1881,"swan****",39,15,25
1885,"thsw****",36,11,27
1886,"brai****",38,21,35
1893,"kwan****",31,21,1
1904,"bria****",38,26,18
1911,"game****",24,5,31
1923,"dldn****",24,23,34
1924,"hyer****",39,28,20
1938,"pers****",33,26,35
1946,"dbsd****",22,9,29
1979,"funk****",34,5,28
1982,"ultr****",32,6,27
1983,"mimi****",36,31,40
1987,"yuna****",15,36,28
1988,"sunb****",29,4,33
1992,"ninj****",39,21,35
1993,"skyp****",8,29,14
1996,"skat****",28,40,34
1999,"gene****",40,34,21
2002,"cind****",15,28,34
2004,"gusa****",40,33,6
2011,"tkdg****",26,8,2
2014,"merc****",25,8,23
2017,"dltn****",7,34,22
2035,"comp****",26,36,28
2040,"nanu****",35,1,25
2044,"pray****",39,20,6
2050,"dlgk****",7,21,6
2063,"andr****",6,4,18
2066,"lily****",38,25,15
2069,"bomi****",33,15,15
2081,"kira****",3,15,29
2083,"khs_****",20,38,1
2085,"toma****",10,5,25
2090,"amen****",25,14,39
2117,"chos****",22,32,11
2120,"deat****",29,9,20
2123,"sohe****",9,12,14
2125,"ruby****",9,7,40
2127,"nari****",33,11,39
2135,"casi****",36,33,2
2137,"tjdn****",28,4,31
2144,"merr****",34,39,34
2145,"wltj****",37,2,35
2150,"wons****",17,23,2
2153,"drag****",10,13,8
2159,"marc****",15,27,31
2162,"ghgh****",33,30,40
2164,"seob****",25,38,25
2165,"dlaw****",9,6,31
2181,"time****",32,21,22
2183,"eric****",26,16,17
2188,"gksd****",9,20,33
2189,"sail****",16,39,27
2196,"rkdw****",27,34,38
2206,"anst****",6,13,35
2219,"alex****",22,5,17
2224,"byun****",37,7,20
2225,"dksw****",26,40,27
2231,"hann****",17,21,21
2235,"seri****",26,13,15
2244,"rara****",1,12,30
2245,"heej****",32,17,40
2248,"leey****",37,11,27
2259,"clea****",15,12,31
2266,"juno****",17,23,37
2268,"ujin****",9,2,39
2275,"audt****",9,3,5
2276,"paul****",9,13,17
2281,"sson****",23,2,11
2287,"kare****",35,24,5
2290,"wint****",16,2,26
2297,"huns****",21,35,18
2298,"yoyo****",6,33,14
2305,"xiah****",1,9,23
2316,"zxcv****",2,27,37
2325,"reds****",19,7,22
2326,"eunh****",19,28,13
2331,"dlsg****",35,36,1
2341,"audr****",32,17,31
2353,"neoj****",38,31,14
2356,"ddol****",9,23,35
2359,"ssss****",23,13,9
2365,"papa****",32,12,28
2373,"heal****",1,16,2
2376,"skyj****",28,21,35
2387,"cong****",25,14,27
2389,"sele****",33,26,2
2390,"tomm****",31,34,6
2396,"bing****",30,33,14
2401,"qkrr****",8,12,22
2406,"pump****",14,33,28
2407,"glor****",27,23,1
2415,"crys****",3,21,21
2437,"seul****",17,7,30
2449,"dlwo****",19,23,28
2450,"oasi****",9,8,9
2456,"gpwl****",17,15,39
2461,"punk****",26,10,11
2462,"qudt****",6,9,17
2470,"dlck****",1,12,20
2484,"bbon****",8,40,25
2496,"juny****",31,6,35
2499,"batt****",35,18,35
2502,"forg****",39,8,29
2503,"dlad****",32,16,29
2509,"mick****",9,36,2
2515,"wlgn****",15,27,15
2528,"adam****",7,10,22
2532,"hyew****",40,7,14
2534,"wonh****",10,9,23
2535,"rapp****",38,11,19
2540,"turn****",22,38,12
2549,"dnfl****",1,36,11
2560,"kwak****",3,30,4
2565,"kism****",37,15,23
2574,"dleh****",9,20,1
2576,"naru****",28,28,29
2586,"suna****",10,5,25
2588,"shim****",7,21,9
2594,"kimi****",14,15,6
2603,"limh****",13,39,35
2623,"kevi****",30,21,16
2633,"kim0****",8,16,4
2641,"xeno****",29,16,16
2645,"penn****",23,6,23
2649,"blur****",30,24,27
2657,"dyna****",13,12,18
2668,"seoy****",20,12,23
2670,"crom****",19,38,24
2675,"endl****",12,35,9
2682,"bara****",6,8,9
2685,"deer****",12,7,12
2686,"sook****",40,2,26
2688,"yama****",32,8,11
2698,"lege****",27,18,3
2702,"thun****",7,30,40
2703,"sooy****",33,28,15
2706,"frie****",11,40,30
2709,"yooj****",12,12,18
2710,"japa****",27,36,40
2732,"romi****",36,33,23
2736,"dann****",11,27,29
2737,"astr****",11,31,4
2742,"esse****",2,25,40
2745,"jieu****",15,29,40
