"user_pk","id","그리스_prefer","그리스_credit","그리스_count","네덜란드_prefer","네덜란드_credit","네덜란드_count","노르웨이_prefer","노르웨이_credit","노르웨이_count","뉴질랜드_prefer","뉴질랜드_credit","뉴질랜드_count","대만_prefer","대만_credit","대만_count","덴마크_prefer","덴마크_credit","덴마크_count","독일_prefer","독일_credit","독일_count","독일.구.서독._prefer","독일.구.서독._credit","독일.구.서독._count","러시아.연방_prefer","러시아.연방_credit","러시아.연방_count","루마니아_prefer","루마니아_credit","루마니아_count","말레이지아_prefer","말레이지아_credit","말레이지아_count","멕시코_prefer","멕시코_credit","멕시코_count","몽골_prefer","몽골_credit","몽골_count","미국_prefer","미국_credit","미국_count","베네수엘라_prefer","베네수엘라_credit","베네수엘라_count","베트남_prefer","베트남_credit","베트남_count","벨기에_prefer","벨기에_credit","벨기에_count","북한_prefer","북한_credit","북한_count","브라질_prefer","브라질_credit","브라질_count","스웨덴_prefer","스웨덴_credit","스웨덴_count","스위스_prefer","스위스_credit","스위스_count","스페인_prefer","스페인_credit","스페인_count","아르헨티나_prefer","아르헨티나_credit","아르헨티나_count","아이슬란드_prefer","아이슬란드_credit","아이슬란드_count","아일랜드_prefer","아일랜드_credit","아일랜드_count","에스토니아_prefer","에스토니아_credit","에스토니아_count","영국_prefer","영국_credit","영국_count","오스트레일리아_prefer","오스트레일리아_credit","오스트레일리아_count","오스트리아_prefer","오스트리아_credit","오스트리아_count","우크라이나_prefer","우크라이나_credit","우크라이나_count","이란_prefer","이란_credit","이란_count","이탈리아_prefer","이탈리아_credit","이탈리아_count","인도_prefer","인도_credit","인도_count","인도네시아_prefer","인도네시아_credit","인도네시아_count","일본_prefer","일본_credit","일본_count","중국_prefer","중국_credit","중국_count","체코_prefer","체코_credit","체코_count","칠레_prefer","칠레_credit","칠레_count","캐나다_prefer","캐나다_credit","캐나다_count","콜롬비아_prefer","콜롬비아_credit","콜롬비아_count","태국_prefer","태국_credit","태국_count","터키_prefer","터키_credit","터키_count","페루_prefer","페루_credit","페루_count","폴란드_prefer","폴란드_credit","폴란드_count","푸에르토리코_prefer","푸에르토리코_credit","푸에르토리코_count","프랑스_prefer","프랑스_credit","프랑스_count","핀란드_prefer","핀란드_credit","핀란드_count","한국_prefer","한국_credit","한국_count","헝가리_prefer","헝가리_credit","헝가리_count","홍콩_prefer","홍콩_credit","홍콩_count"
733,"gmlt****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.597,0.805,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627,0.183,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433,0.792,20,NA,NA,NA,0.008,0,1
737,"worl****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.429,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.548,0.823,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285,0.263,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583,0.166,2,NA,NA,NA,NA,NA,NA,0.285,0,1,0.583,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583,0.166,2,NA,NA,NA,0.455,0.751,23,NA,NA,NA,0.583,0,1
741,"afri****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.456,0.82,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.422,0,1,NA,NA,NA,0.558,0.312,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.796,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.504,0.653,10,NA,NA,NA,0.796,0,1
743,"lets****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627,0.827,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.679,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.801,0,1,NA,NA,NA,0.319,0.773,18,NA,NA,NA,NA,NA,NA
746,"spdl****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.509,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.548,0.79,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735,0,1,0.449,0.164,2,NA,NA,NA,NA,NA,NA,0.735,0,1,NA,NA,NA,0.627,0.164,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.821,32,NA,NA,NA,0.735,0,1
756,"nami****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.635,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755,0,1,NA,NA,NA,0.19,0.177,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537,0.281,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755,0,1,NA,NA,NA,0.477,0.869,30,NA,NA,NA,0.061,0,1
758,"ador****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.418,0.693,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,0.193,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,0,1,NA,NA,NA,0.559,0.822,19,NA,NA,NA,NA,NA,NA
761,"dbst****",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.605,0,1,0.726,0.152,2,NA,NA,NA,0.345,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.707,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232,0,1,NA,NA,NA,0.408,0.393,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.605,0.393,6,0.726,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.726,0,1,NA,NA,NA,0.426,0.859,50,NA,NA,NA,0.726,0,1
776,"vict****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.663,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623,0.774,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.663,0.158,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.774,0.158,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.774,0,1,NA,NA,NA,0.378,0.861,44,NA,NA,NA,0.774,0,1
777,"qudr****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.563,0.795,29,NA,NA,NA,NA,NA,NA,0.412,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602,0.259,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433,0.84,35,NA,NA,NA,NA,NA,NA
780,"thdd****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.807,0.153,2,NA,NA,NA,0.807,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.551,0.793,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,1,0.807,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.718,0,1,0.332,0.153,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041,0,1,NA,NA,NA,NA,NA,NA,0.732,0.43,7,0.807,0,1,NA,NA,NA,NA,NA,NA,0.614,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.614,0.153,2,NA,NA,NA,0.368,0.793,36,NA,NA,NA,NA,NA,NA
783,"plan****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.763,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583,0.765,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.272,3,0.635,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.763,0.171,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.422,0.806,26,NA,NA,NA,0.004,0,1
789,"mint****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.688,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.577,0.637,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.688,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.688,0.172,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.454,0.91,39,NA,NA,NA,NA,NA,NA
794,"mado****",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654,0.166,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.815,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064,0,1,NA,NA,NA,0.476,0.263,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748,0,1,NA,NA,NA,0.748,0.263,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.827,0.166,2,NA,NA,NA,0.434,0.718,20,NA,NA,NA,0.827,0.166,2
