"","user_pk","id","12세 관람가_mean","12세 관람가_std","12세 관람가_count","15세 관람가_mean","15세 관람가_std","15세 관람가_count","G_mean","G_std","G_count","NR_mean","NR_std","NR_count","PG_mean","PG_std","PG_count","PG-13_mean","PG-13_std","PG-13_count","R_mean","R_std","R_count","전체 관람가_mean","전체 관람가_std","전체 관람가_count","청소년 관람불가_mean","청소년 관람불가_std","청소년 관람불가_count"
"1425",13869,"skal****",9.92857142857143,0.257539376818827,14,5.66666666666667,4.21637021355784,9,NA,NA,NA,NA,NA,NA,10,0,1,NA,NA,NA,NA,NA,NA,10,0,1,7.5,3.09569593683445,6
"1426",13880,"rene****",7.75,3.03108891324554,8,7.31578947368421,3.37253038812648,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.66666666666667,1.88561808316413,6,6.6,3.55527776692624,10
"1427",13881,"jink****",8.66666666666667,2.78886675511359,9,7.33333333333333,2.98142396999972,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,2,8.18181818181818,2.47966939945197,11
"1428",13929,"chea****",7.75,2.27760839478607,8,7.5,2.56580071972344,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.16666666666667,2.96741563579415,6,9,1,2
"1429",13956,"skdu****",9.6875,0.768012857965282,16,9.07142857142857,1.43747227124987,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.83333333333333,0.372677996249942,6,10,0,2
"1430",14012,"sjle****",8.42857142857143,2.09469689980217,14,9.07692307692308,1.07141448286032,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,3.32264954516723,5,10,0,2
"1431",14021,"bban****",7.8,1.46969384566991,10,7.53846153846154,2.5903781908435,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,6.33333333333333,2.92498812913071,6
"1432",14130,"tita****",7.84615384615385,2.41298263713202,13,7.1875,3.72858468456866,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,2
"1433",14158,"daum****",7.66666666666667,2.59272486435067,12,8.66666666666667,1.37436854187256,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,4.5,2,8,3.09838667696593,5
"1434",14208,"fant****",7.4,2.65329983228432,10,7.72727272727273,2.76638619176417,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1,9.33333333333333,1.33333333333333,9
"1435",14209,"what****",7.4,3.38230690505755,15,7.89473684210526,2.48986866789787,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,2,8.26666666666667,3.04338992280355,15
"1436",14221,"oops****",7.33333333333333,3.33333333333333,18,7.33333333333333,2.58198889747161,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,0.866025403784439,4,7.72222222222222,2.42224770628796,18
"1437",14321,"acto****",9,1.0690449676497,7,6.54545454545455,3.89320238279343,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.75,3.89711431702997,4,8.63636363636364,2.05703790890632,11
"1438",14329,"dpfl****",8,2.07549808665108,13,7.13333333333333,3.46153466286591,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,2,9,0.816496580927729,3
"1439",14358,"nams****",9.42105263157895,2.00829305561462,19,6.80952380952381,4.05461580141105,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.75,3.89711431702997,4,7.66666666666667,3.19722101554181,6
"1440",14508,"acid****",6.45454545454545,3.52558535084824,11,8.29411764705882,2.0512465616662,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0.489897948556645,5,8.75,1.29903810567666,12
"1441",14545,"dall****",8.55555555555556,0.955813918560293,9,7.7,2.72213151776324,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,2.9732137494637,10
"1442",14601,"whee****",7.4,2.5377155080899,10,7.36,2.79828518918283,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.4142135623731,3,7.4375,2.31756202721739,16
